step,ancien,nouveau,raison,score_ancien,score_nouveau
7335,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9996
7336,HoeffdingTree,KNN_ADWIN,bandit,0.9996,1.0
7365,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9994
7366,HoeffdingTree,KNN_ADWIN,bandit,0.9994,1.0
7379,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9994
7380,HoeffdingTree,KNN_ADWIN,bandit,0.9994,1.0
7415,KNN_ADWIN,SGD,bandit,1.0,0.9987
7416,SGD,KNN_ADWIN,bandit,0.9987,1.0
7426,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9994
7427,HoeffdingTree,KNN_ADWIN,bandit,0.9994,1.0
7435,KNN_ADWIN,SGD,bandit,1.0,0.9987
7436,SGD,KNN_ADWIN,bandit,0.9987,1.0
7444,KNN_ADWIN,SGD,bandit,1.0,0.9987
7445,SGD,KNN_ADWIN,bandit,0.9987,1.0
7449,KNN_ADWIN,SGD,bandit,1.0,0.9987
7450,SGD,KNN_ADWIN,bandit,0.9987,1.0
7454,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9994
7455,HoeffdingTree,KNN_ADWIN,bandit,0.9994,1.0
7459,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9994
7460,HoeffdingTree,KNN_ADWIN,bandit,0.9994,1.0
7461,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9994
7462,HoeffdingTree,KNN_ADWIN,bandit,0.9994,1.0
7489,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9994
7490,HoeffdingTree,KNN_ADWIN,bandit,0.9994,1.0
7504,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9994
7505,HoeffdingTree,KNN_ADWIN,bandit,0.9994,1.0
7507,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9994
7508,HoeffdingTree,SGD,bandit,0.9994,0.9987
7509,SGD,KNN_ADWIN,bandit,0.9987,1.0
7514,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9994
7515,HoeffdingTree,KNN_ADWIN,bandit,0.9994,1.0
7516,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9994
7517,HoeffdingTree,KNN_ADWIN,bandit,0.9994,1.0
7537,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9994
7538,HoeffdingTree,KNN_ADWIN,bandit,0.9994,1.0
7581,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9994
7582,HoeffdingTree,KNN_ADWIN,bandit,0.9994,1.0
7585,KNN_ADWIN,SGD,bandit,1.0,0.9987
7586,SGD,KNN_ADWIN,bandit,0.9987,1.0
7626,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9995
7627,HoeffdingTree,KNN_ADWIN,bandit,0.9995,1.0
7649,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9995
7650,HoeffdingTree,KNN_ADWIN,bandit,0.9995,1.0
7657,KNN_ADWIN,SGD,bandit,1.0,0.9987
7658,SGD,KNN_ADWIN,bandit,0.9987,1.0
7672,KNN_ADWIN,SGD,bandit,1.0,0.9987
7673,SGD,KNN_ADWIN,bandit,0.9987,1.0
7684,KNN_ADWIN,SGD,bandit,1.0,0.9987
7685,SGD,KNN_ADWIN,bandit,0.9987,1.0
7686,KNN_ADWIN,SGD,bandit,1.0,0.9987
7687,SGD,KNN_ADWIN,bandit,0.9987,1.0
7689,KNN_ADWIN,SGD,bandit,1.0,0.9987
7690,SGD,KNN_ADWIN,bandit,0.9987,1.0
7697,KNN_ADWIN,SGD,bandit,1.0,0.9987
7698,SGD,KNN_ADWIN,bandit,0.9987,1.0
7702,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9995
7703,HoeffdingTree,KNN_ADWIN,bandit,0.9995,1.0
7731,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9995
7732,HoeffdingTree,KNN_ADWIN,bandit,0.9995,1.0
7741,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9995
7742,HoeffdingTree,KNN_ADWIN,bandit,0.9995,1.0
7744,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9995
7745,HoeffdingTree,KNN_ADWIN,bandit,0.9995,1.0
7747,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9995
7748,HoeffdingTree,KNN_ADWIN,bandit,0.9995,1.0
7759,KNN_ADWIN,SGD,bandit,1.0,0.9988
7760,SGD,KNN_ADWIN,bandit,0.9988,1.0
7770,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9995
7771,HoeffdingTree,KNN_ADWIN,bandit,0.9995,1.0
7775,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9995
7776,HoeffdingTree,KNN_ADWIN,bandit,0.9995,1.0
7780,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9995
7781,HoeffdingTree,KNN_ADWIN,bandit,0.9995,1.0
7792,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9995
7793,HoeffdingTree,KNN_ADWIN,bandit,0.9995,1.0
7849,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9995
7850,HoeffdingTree,KNN_ADWIN,bandit,0.9995,1.0
7852,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9995
7853,HoeffdingTree,KNN_ADWIN,bandit,0.9995,1.0
7856,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9995
7857,HoeffdingTree,KNN_ADWIN,bandit,0.9995,1.0
7874,KNN_ADWIN,SGD,bandit,1.0,0.9988
7875,SGD,KNN_ADWIN,bandit,0.9988,1.0
7895,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9995
7896,HoeffdingTree,KNN_ADWIN,bandit,0.9995,1.0
7938,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9995
7939,HoeffdingTree,KNN_ADWIN,bandit,0.9995,1.0
7949,KNN_ADWIN,SGD,bandit,1.0,0.9988
7950,SGD,KNN_ADWIN,bandit,0.9988,1.0
7956,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9995
7957,HoeffdingTree,KNN_ADWIN,bandit,0.9995,1.0
7985,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9995
7986,HoeffdingTree,KNN_ADWIN,bandit,0.9995,1.0
7987,KNN_ADWIN,SGD,bandit,1.0,0.9988
7988,SGD,KNN_ADWIN,bandit,0.9988,1.0
7990,KNN_ADWIN,SGD,bandit,1.0,0.9988
7991,SGD,KNN_ADWIN,bandit,0.9988,1.0
7996,KNN_ADWIN,SGD,bandit,1.0,0.9988
7997,SGD,KNN_ADWIN,bandit,0.9988,1.0
8012,KNN_ADWIN,SGD,bandit,1.0,0.9988
8013,SGD,KNN_ADWIN,bandit,0.9988,1.0
8025,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9995
8026,HoeffdingTree,KNN_ADWIN,bandit,0.9995,1.0
8093,KNN_ADWIN,SGD,bandit,1.0,0.9988
8094,SGD,KNN_ADWIN,bandit,0.9988,1.0
8121,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9993
8122,HoeffdingTree,KNN_ADWIN,bandit,0.9992,1.0
8153,KNN_ADWIN,SGD,bandit,1.0,0.9988
8154,SGD,KNN_ADWIN,bandit,0.9988,1.0
8155,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9992
8156,HoeffdingTree,KNN_ADWIN,bandit,0.9992,1.0
8198,KNN_ADWIN,SGD,bandit,1.0,0.9988
8199,SGD,KNN_ADWIN,bandit,0.9988,1.0
8209,KNN_ADWIN,SGD,bandit,1.0,0.9988
8210,SGD,KNN_ADWIN,bandit,0.9988,1.0
8216,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9992
8217,HoeffdingTree,KNN_ADWIN,bandit,0.9992,1.0
8237,KNN_ADWIN,SGD,bandit,1.0,0.9989
8238,SGD,KNN_ADWIN,bandit,0.9989,1.0
8249,KNN_ADWIN,SGD,bandit,1.0,0.9989
8250,SGD,KNN_ADWIN,bandit,0.9989,1.0
8281,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9992
8283,HoeffdingTree,KNN_ADWIN,bandit,0.9992,1.0
8303,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9992
8304,HoeffdingTree,KNN_ADWIN,bandit,0.9992,1.0
8330,KNN_ADWIN,SGD,bandit,1.0,0.9989
8331,SGD,KNN_ADWIN,bandit,0.9989,1.0
8340,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9992
8341,HoeffdingTree,KNN_ADWIN,bandit,0.9992,1.0
8354,KNN_ADWIN,SGD,bandit,1.0,0.9989
8355,SGD,KNN_ADWIN,bandit,0.9989,1.0
8394,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9992
8395,HoeffdingTree,KNN_ADWIN,bandit,0.9992,1.0
